scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,Binwise Bonferroni,5,0.007629599999999995,500
S2,Binwise Bonferroni,6,0.009837599999999991,500
S2,Binwise Bonferroni,7,0.011978800000000006,500
S2,Binwise Bonferroni,8,0.014042800000000001,500
S2,Binwise Bonferroni,9,0.016017599999999993,500
S2,Binwise Bonferroni,10,0.01797880000000001,500
S2,Binwise Bonferroni,11,0.019853199999999994,500
S2,Binwise Bonferroni,12,0.020719200000000028,500
S2,Binwise Bonferroni,13,0.021868000000000005,500
S2,Binwise Bonferroni,14,0.02301600000000001,500
S2,Binwise Bonferroni,15,0.024164800000000014,500
S2,Binwise Bonferroni,16,0.0252968,500
S2,Binwise Bonferroni,17,0.026439200000000013,500
S2,Binwise Bonferroni,18,0.027606800000000032,500
S2,Binwise Bonferroni,19,0.028710000000000027,500
S2,Binwise Bonferroni,20,0.029800800000000016,500
S2,Binwise Bonferroni,21,0.030875600000000003,500
S2,Binwise Bonferroni,22,0.031951999999999994,500
S2,Binwise Bonferroni,23,0.03305039999999999,500
S2,Binwise Bonferroni,24,0.03358759999999999,500
S2,Binwise Bonferroni,25,0.034284,500
S2,Binwise Bonferroni,26,0.03500159999999999,500
S2,Binwise Bonferroni,27,0.035710399999999975,500
S2,Binwise Bonferroni,28,0.036420400000000006,500
S2,Binwise Bonferroni,29,0.03711759999999996,500
S2,Binwise Bonferroni,30,0.03779000000000002,500
S2,Binwise Bonferroni,31,0.038473199999999985,500
S2,Binwise Bonferroni,32,0.03919480000000003,500
S2,Binwise Bonferroni,33,0.039870400000000035,500
S2,Binwise Bonferroni,34,0.04053359999999999,500
S2,Binwise Bonferroni,35,0.041137199999999964,500
S2,Binwise Bonferroni,36,0.04177039999999999,500
S2,Binwise Bonferroni,37,0.042333599999999985,500
S2,Binwise Bonferroni,38,0.04290559999999999,500
S2,Binwise Bonferroni,39,0.043413200000000075,500
S2,Binwise Bonferroni,40,0.04387879999999996,500
S2,Binwise Bonferroni,41,0.04430720000000001,500
S2,Binwise Bonferroni,42,0.04470280000000001,500
S2,Binwise Bonferroni,43,0.045036000000000034,500
S2,Binwise Bonferroni,44,0.045323999999999996,500
S2,Binwise Bonferroni,45,0.04557120000000003,500
S2,Binwise Bonferroni,46,0.045832000000000046,500
S2,Binwise Bonferroni,47,0.046063999999999994,500
S2,Binwise Bonferroni,48,0.047747199999999955,500
S2,Binwise Bonferroni,49,0.04842280000000004,500
S2,Binwise Bonferroni,50,0.049028400000000034,500
S2,Binwise Bonferroni,51,0.04963679999999999,500
S2,Binwise Bonferroni,52,0.05022079999999997,500
S2,Binwise Bonferroni,53,0.05077559999999998,500
S2,Binwise Bonferroni,54,0.05133759999999998,500
S2,Binwise Bonferroni,55,0.05186760000000001,500
S2,Binwise Bonferroni,56,0.052433200000000006,500
S2,Binwise Bonferroni,57,0.05296920000000003,500
S2,Binwise Bonferroni,58,0.05347920000000003,500
S2,Binwise Bonferroni,59,0.054027999999999944,500
S2,Binwise Bonferroni,60,0.05453720000000002,500
S2,Binwise Bonferroni,61,0.05503720000000001,500
S2,Binwise Bonferroni,62,0.055536,500
S2,Binwise Bonferroni,63,0.05601280000000002,500
S2,Binwise Bonferroni,64,0.05648359999999995,500
S2,Binwise Bonferroni,65,0.05698479999999999,500
S2,Binwise Bonferroni,66,0.05746400000000005,500
S2,Binwise Bonferroni,67,0.057958800000000005,500
S2,Binwise Bonferroni,68,0.05844480000000003,500
