panel,method,hour,estimate,lower_95,upper_95,denominator
overall,PaFAR-HC,3,0.0,0.0,0.0,7480
overall,PaFAR-HC,4,0.0,0.0,0.0,7480
overall,PaFAR-HC,5,0.0,0.0,0.0,7480
overall,PaFAR-HC,6,0.0524064171122994,0.0477239296771585,0.0574899732135236,7480
overall,PaFAR-HC,7,0.0651069518716577,0.059759359806776,0.0707219243049621,7480
overall,PaFAR-HC,8,0.0719251336898395,0.0664405107498169,0.0779411792755127,7480
overall,PaFAR-HC,9,0.0764705882352941,0.0704545453190803,0.0823529437184333,7480
overall,PaFAR-HC,10,0.0783422459893048,0.0721891703084111,0.0844953179359436,7480
overall,PaFAR-HC,11,0.0795454545454545,0.073128342628479,0.0856951847672462,7480
overall,PaFAR-HC,12,0.0815508021390374,0.0753977255895733,0.087837566435337,7480
overall,PaFAR-HC,13,0.0823529411764705,0.0760695189237594,0.0887733964249491,7480
overall,PaFAR-HC,14,0.0828877005347593,0.0764705911278724,0.0895721912384033,7480
overall,PaFAR-HC,15,0.0834224598930481,0.0771356927230954,0.0899832900613546,7480
overall,PaFAR-HC,16,0.084090909090909,0.0776738002896308,0.0909124357625842,7480
overall,PaFAR-HC,17,0.0844919786096256,0.0782052159309387,0.0913135007023811,7480
overall,PaFAR-HC,18,0.0850267379679144,0.0787433162331581,0.0918449163436889,7480
overall,PaFAR-HC,19,0.0852941176470588,0.0790106952190399,0.0919786095619201,7480
overall,PaFAR-HC,20,0.0852941176470588,0.0790106952190399,0.0919786095619201,7480
overall,PaFAR-HC,21,0.0856951871657754,0.0795421110466122,0.0926470607519149,7480
overall,PaFAR-HC,22,0.0856951871657754,0.0795421110466122,0.0926470607519149,7480
overall,PaFAR-HC,23,0.0856951871657754,0.0795421110466122,0.0926470607519149,7480
overall,PaFAR-HC,24,0.0856951871657754,0.0795421110466122,0.0926470607519149,7480
overall,PaFAR-HC,25,0.0856951871657754,0.0795421110466122,0.0926470607519149,7480
overall,PaFAR-HC,26,0.0856951871657754,0.0795421110466122,0.0926470607519149,7480
overall,PaFAR-HC,27,0.0858288770053476,0.0795454531908035,0.0927807465195655,7480
overall,PaFAR-HC,28,0.0858288770053476,0.0795454531908035,0.0927807465195655,7480
overall,PaFAR-HC,29,0.0858288770053476,0.0795454531908035,0.0927807465195655,7480
overall,PaFAR-HC,30,0.0858288770053476,0.0795454531908035,0.0927807465195655,7480
overall,PaFAR-HC,31,0.0858288770053476,0.0795454531908035,0.0927807465195655,7480
overall,PaFAR-HC,32,0.0859625668449197,0.0796791464090347,0.0927840888500213,7480
overall,PaFAR-HC,33,0.0859625668449197,0.0796791464090347,0.0927840888500213,7480
overall,PaFAR-HC,34,0.0859625668449197,0.0796791464090347,0.0927840888500213,7480
overall,PaFAR-HC,35,0.0859625668449197,0.0796791464090347,0.0927840888500213,7480
overall,PaFAR-HC,36,0.0859625668449197,0.0796791464090347,0.0927840888500213,7480
overall,PaFAR-HC,37,0.0859625668449197,0.0796791464090347,0.0927840888500213,7480
overall,PaFAR-HC,38,0.0859625668449197,0.0796791464090347,0.0927840888500213,7480
overall,PaFAR-HC,39,0.0862299465240641,0.0800802111625671,0.092917781881988,7480
overall,PaFAR-HC,40,0.0862299465240641,0.0800802111625671,0.092917781881988,7480
overall,PaFAR-HC,41,0.0864973262032085,0.0803442480042576,0.0934491977095604,7480
overall,PaFAR-HC,42,0.0864973262032085,0.0803442480042576,0.0934491977095604,7480
overall,PaFAR-HC,43,0.0867647058823529,0.0804812833666801,0.0935862330719828,7480
overall,PaFAR-HC,44,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,45,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,46,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,47,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,48,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,49,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,50,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,51,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,52,0.0868983957219251,0.0806116342544555,0.0937165766954422,7480
overall,PaFAR-HC,53,0.0870320855614973,0.0807486623525619,0.0937199190258979,7480
overall,PaFAR-HC,54,0.0870320855614973,0.0807486623525619,0.0937199190258979,7480
overall,PaFAR-HC,55,0.0872994652406417,0.0810126991942525,0.093983955681324,7480
overall,PaFAR-HC,56,0.0872994652406417,0.0810126991942525,0.093983955681324,7480
overall,PaFAR-HC,57,0.0881016042780748,0.0816844925284385,0.0947894349694252,7480
overall,PaFAR-HC,58,0.088235294117647,0.0818181782960891,0.0950534790754318,7480
overall,PaFAR-HC,59,0.088903743315508,0.0824866294860839,0.095721922814846,7480
overall,PaFAR-HC,60,0.0893048128342246,0.0828877016901969,0.0959893018007278,7480
overall,PaFAR-HC,61,0.0897058823529411,0.0831550806760788,0.096524067223072,7480
overall,PaFAR-HC,62,0.0897058823529411,0.0831550806760788,0.096524067223072,7480
overall,PaFAR-HC,63,0.0899732620320855,0.0834224596619606,0.0966644374653696,7480
overall,PaFAR-HC,64,0.0899732620320855,0.0834224596619606,0.0966644374653696,7480
overall,PaFAR-HC,65,0.0899732620320855,0.0834224596619606,0.0966644374653696,7480
overall,PaFAR-HC,66,0.0901069518716577,0.0836864965036511,0.0967947883531451,7480
overall,PaFAR-HC,67,0.0901069518716577,0.0836864965036511,0.0967947883531451,7480
