direction,strategy,target_m0,pfa,sens3,sens0,premature,median_lead,ppv3,ppv0,alerts_per_100d,episodes_per_patient,utility,n_non_events,n_events,n_sens3,n_sens0,n_alerted,n_valid3,n_valid0,total_episodes,exposure_days,pfa_lower_95,pfa_upper_95,pfa_upper_one_sided_95,raw_utility,threshold,calibration_count,k,alpha_m0,infinite
A→B,Direct source transfer,0,0.0321349029589564,0.0075,0.0169491525423728,0.1210653753026634,2.0,0.008130081300813,0.018970189701897,3.00504523526018,0.0412871888281724,0.0161765640390176,9429,453,400,413,369,3,7,408,13577.166666666666,0.0286673504930336,0.0358952704004791,0.0352845668251275,-3827.5277777777774,1.3664259910583496,3709,3339,0.1,False
A→B,Local PaFAR-F,100,0.0703149856824689,0.0325,0.0460048426150121,0.1961259079903147,4.0,0.0166453265044814,0.0243277848911651,6.768717086284571,0.0929973689536531,0.0392137705334731,9429,453,400,413,781,13,19,919,13577.166666666666,0.0652346142708632,0.0756626833272532,0.0747981136905799,-3666.405555555556,1.0485851764678955,100,91,0.099009900990099,False
A→B,Local PaFAR-T,100,0.1084950684059815,0.045,0.0750605326876513,0.3680387409200968,3.0,0.0144694533762057,0.0249196141479099,14.163485263248347,0.1945962355798421,0.1884353255171098,9429,453,400,413,1244,18,31,1923,13577.166666666666,0.1022862421419835,0.1149468906773766,0.1139060673732629,-2622.75,1.3880650435811794,100,91,0.099009900990099,False
A→B,Local PaFAR-HC,100,0.0571640682999257,0.0225,0.0387409200968523,0.1791767554479419,3.0,0.0139318885448916,0.0247678018575851,5.413500607637824,0.0743776563448694,0.0320782893273599,9429,453,400,413,646,9,16,735,13577.166666666666,0.0525625041517444,0.0620415112846914,0.0612521003422535,-3716.311111111111,1.144442439079285,100,96,,False
A→B,Local PaFAR-F,250,0.0839961819917276,0.0325,0.0411622276029055,0.2179176755447942,4.0,0.0141612200435729,0.0185185185185185,7.998723346795478,0.1098967820279295,0.0451799955517427,9429,453,400,413,918,13,17,1086,13577.166666666666,0.078473511414756,0.0897773977583915,0.0888435859453908,-3624.677777777778,0.9753303527832032,250,226,0.099601593625498,False
A→B,Local PaFAR-T,250,0.1141160250291653,0.045,0.0750605326876513,0.3728813559322034,3.0,0.0138568129330254,0.0238645111624326,14.782171046978384,0.2030965391621129,0.1913878562577447,9429,453,400,413,1299,18,31,2007,13577.166666666666,0.1077652470057194,0.1207062528244804,0.1196433605073464,-2602.1,1.368840399090954,250,226,0.099601593625498,False
A→B,Local PaFAR-HC,250,0.0650121964153144,0.03,0.0435835351089588,0.1864406779661017,3.5,0.0165289256198347,0.024793388429752,6.164761916452869,0.0846994535519125,0.0372136434404092,9429,453,400,413,726,12,18,837,13577.166666666666,0.0601177325754944,0.0701774187791262,0.0693420076361565,-3680.394444444444,1.0788016319274902,250,234,,False
A→B,Local PaFAR-F,500,0.0815568989288365,0.0325,0.0411622276029055,0.2106537530266344,4.0,0.0145739910313901,0.0190582959641255,7.785129445269632,0.1069621534102408,0.0430583357163282,9429,453,400,413,892,13,17,1057,13577.166666666666,0.0761095299766027,0.0872643721691986,0.0863423353364375,-3639.5166666666655,0.9889264106750488,500,451,0.0998003992015968,False
A→B,Local PaFAR-T,500,0.0862233534839325,0.0325,0.0653753026634382,0.3341404358353511,2.0,0.0128331688055281,0.0266535044422507,11.725568663074034,0.1611009917020846,0.1765251167667524,9429,453,400,413,1013,13,27,1592,13577.166666666666,0.0806331597307036,0.092070670991978,0.0911263054561726,-2706.05,1.494331976011387,500,451,0.0998003992015968,False
A→B,Local PaFAR-HC,500,0.0639516385618835,0.0275,0.0411622276029055,0.1864406779661017,3.0,0.0154061624649859,0.0238095238095238,5.987994549672858,0.0822707953855494,0.0349132589838908,9429,453,400,413,714,11,17,813,13577.166666666666,0.0590954598730698,0.0690792646512306,0.0682498620953415,-3696.4833333333336,1.092764973640442,500,462,,False
A→B,Local PaFAR-F,1000,0.093859370028635,0.035,0.0460048426150121,0.2227602905569007,4.0,0.0137524557956778,0.018664047151277,8.772080576458023,0.120522161505768,0.0503860451815842,9429,453,400,413,1018,14,19,1191,13577.166666666666,0.0880460315175344,0.0999249722928868,0.0989457640272623,-3588.2666666666664,0.9260207414627076,1000,901,0.0999000999000999,False
A→B,Local PaFAR-T,1000,0.0895110828295683,0.0375,0.0702179176755447,0.3365617433414044,3.0,0.0143129770992366,0.0276717557251908,12.086468703583222,0.1660595021250759,0.1776951672862453,9429,453,400,413,1048,15,29,1641,13577.166666666666,0.0838232698856826,0.0954539245970015,0.0944943098260502,-2697.866666666667,1.4779000680736976,1000,901,0.0999000999000999,False
A→B,Local PaFAR-HC,1000,0.0829356241382967,0.03,0.0387409200968523,0.2130750605326876,4.0,0.0132596685082872,0.0176795580110497,7.910339663405472,0.108682452944748,0.0438852349633018,9429,453,400,413,905,12,16,1074,13577.166666666666,0.0774455171745074,0.0886849538570849,0.0877562333386389,-3633.7333333333336,0.9836902618408204,1000,916,,False
B→A,Direct source transfer,0,0.3154318990617923,0.061898211829436,0.0900537634408602,0.5779569892473119,4.0,0.0129645635263612,0.0193027945836934,35.50561797752809,0.5101331213987681,0.222777661203552,9273,793,727,744,3471,45,67,5135,14462.5,0.3059791638564955,0.3250007008412059,0.3234653791542022,-4158.927777777777,0.940895974636078,3771,3395,0.0999469777306468,False
B→A,Local PaFAR-F,100,0.091987490564003,0.0385144429160935,0.0591397849462365,0.2916666666666667,3.0,0.0242424242424242,0.0380952380952381,11.215211754537595,0.161136499105901,0.1089670382656136,9273,793,727,744,1155,28,44,1622,14462.5,0.0861800910458094,0.0980526320724403,0.0970733679597228,-5575.155555555555,1.8076151609420776,100,91,0.099009900990099,False
B→A,Local PaFAR-T,100,0.0959775692871778,0.0371389270976616,0.0604838709677419,0.239247311827957,3.0,0.0234782608695652,0.0391304347826087,12.770959377700953,0.1834889727796542,0.0870345153959828,9273,793,727,744,1150,27,45,1847,14462.5,0.0900559206058461,0.1021543822039159,0.1011572976964017,-5848.077777777778,4.09108126288769,100,91,0.099009900990099,False
B→A,Local PaFAR-HC,100,0.0469103849886768,0.030261348005502,0.0443548387096774,0.1868279569892473,3.0,0.034375,0.0515625,6.340535868625756,0.0910987482614742,0.0670641599735698,9273,793,727,744,640,22,33,917,14462.5,0.042695719109324,0.0514125140583859,0.0506829933343155,-6096.583333333334,2.1237435340881348,100,96,,False
B→A,Local PaFAR-F,250,0.1146338833171573,0.0426409903713892,0.0631720430107526,0.3373655913978494,4.0,0.0220483641536273,0.0334281650071123,13.65600691443388,0.1962050466918339,0.1242996245317808,9273,793,727,744,1406,31,47,1975,14462.5,0.1082175535875506,0.1212933804150116,0.1202193126771433,-5384.361111111111,1.6846637725830078,250,226,0.099601593625498,False
