scenario,method,nominal_alpha,mean_pfa,pfa_mcse,n_defined
E1,PaFAR-HC,0.2,0.17146945012151715,0.002013244831300059,100
E2,Pointwise-alpha,0.02,0.2427415972514398,0.003688230840247636,100
E2,Pointwise-alpha,0.05,0.42225766062777287,0.005043385663306905,100
E2,Pointwise-alpha,0.1,0.594951480205673,0.005863416941291526,100
E2,Pointwise-alpha,0.15,0.7019938113993388,0.005956554909996796,100
E2,Pointwise-alpha,0.2,0.7774847796679529,0.005733318972823966,100
E2,Binwise Bonferroni,0.02,0.018067229675570208,0.0006954400643870236,100
E2,Binwise Bonferroni,0.05,0.042754062935674166,0.0009971883918641444,100
E2,Binwise Bonferroni,0.1,0.08062298917037176,0.0014063212664129669,100
E2,Binwise Bonferroni,0.15,0.11873606832361071,0.0017861794925334625,100
E2,Binwise Bonferroni,0.2,0.15379681144934682,0.0019063130571817636,100
E2,Naive maximum,0.02,0.021618848069595364,0.0007789568047592426,100
E2,Naive maximum,0.05,0.0538268151740446,0.0012520796265844609,100
E2,Naive maximum,0.1,0.1031808415002321,0.00164660977366794,100
E2,Naive maximum,0.15,0.15194345847917543,0.0020961449221321648,100
E2,Naive maximum,0.2,0.20203558170972172,0.002172663292983722,100
E2,PaFAR-F,0.02,0.01875044781169057,0.0007551871521085214,100
E2,PaFAR-F,0.05,0.050790250591394616,0.001235881836464834,100
E2,PaFAR-F,0.1,0.10132861586459375,0.0016566481998978877,100
E2,PaFAR-F,0.15,0.15025051439184145,0.0021145835459225005,100
E2,PaFAR-F,0.2,0.20017668182048173,0.0021993011729257864,100
E2,PaFAR-T,0.02,0.019044631312404605,0.0006691791409817518,100
E2,PaFAR-T,0.05,0.04973884160079636,0.0010678474055525818,100
E2,PaFAR-T,0.1,0.0984676084967814,0.0013947911157150248,100
E2,PaFAR-T,0.15,0.14913332946459876,0.0017969215925957662,100
E2,PaFAR-T,0.2,0.20014344491343594,0.0021507107426351345,100
E2,PaFAR-HC,0.02,0.011045741935255298,0.0005695761255510615,100
E2,PaFAR-HC,0.05,0.0355339421215328,0.001066636368157995,100
E2,PaFAR-HC,0.1,0.0815858379597738,0.0014668101554320338,100
E2,PaFAR-HC,0.15,0.12619752098356804,0.001779816164322863,100
E2,PaFAR-HC,0.2,0.17256898913208069,0.002126157722617986,100
