scenario,contrast,metric,mean_paired_difference,paired_sd,paired_mcse,mc_interval_lower,mc_interval_upper,n_pairs
S3,PaFAR-T minus PaFAR-F,pfa,0.00024120000000000036,0.008586832357737035,0.00038401481726589603,-0.0005114690418411558,0.0009938690418411565,500
S3,PaFAR-T minus PaFAR-F,long_stay_pfa,-0.0348416,0.017168761229754716,0.0007678103439838885,-0.03634650827420842,-0.03333669172579158,500
S3,PaFAR-T minus PaFAR-F,sens3,0.004607999999999998,0.010928504033068826,0.0004887375582064501,0.003650074385915356,0.00556592561408464,500
S3,PaFAR-T minus PaFAR-F,sens0,0.0006339999999999987,0.015444063007004622,0.0006906794946490429,-0.0007197318095121252,0.0019877318095121227,500
S3,PaFAR-T minus PaFAR-F,premature,0.012721,0.006103537116349938,0.0002729584779070301,0.01218600138330222,0.01325599861669778,500
S3,PaFAR-T minus PaFAR-F,median_lead,0.0,0.0,0.0,0.0,0.0,500
S3,PaFAR-T minus PaFAR-F,ppv3_standardized,0.001978283836754795,0.005423359962394698,0.00024254003084730493,0.0015029053762940776,0.0024536622972155127,500
S3,PaFAR-T minus PaFAR-F,alert_burden_100d,0.012063126713093054,0.7156591185004988,0.03200524875369385,-0.050667160844146894,0.074793414270333,500
E1,PaFAR-T minus PaFAR-F,pfa,0.0019078563039178753,0.01515197906448928,0.0015151979064489279,-0.001061931592722023,0.004877644200557774,100
E1,PaFAR-T minus PaFAR-F,long_stay_pfa,0.08225304403677816,0.04588534020687457,0.004588534020687457,0.07325951735623075,0.09124657071732557,100
E1,PaFAR-T minus PaFAR-F,sens3,-0.004941504698273895,0.017034612518886407,0.0017034612518886407,-0.008280288751975631,-0.0016027206445721589,100
E1,PaFAR-T minus PaFAR-F,sens0,-0.0066087944204803635,0.033984410339144,0.0033984410339144,-0.013269738846952588,5.2150005991859726e-05,100
E1,PaFAR-T minus PaFAR-F,premature,-0.037386006441733344,0.03059364870940471,0.003059364870940471,-0.04338236158877667,-0.03138965129469002,100
E1,PaFAR-T minus PaFAR-F,median_lead,-0.045,0.5275012566407551,0.05275012566407551,-0.14839024630158798,0.058390246301588,100
E1,PaFAR-T minus PaFAR-F,ppv3_standardized,-0.0038693971988137204,0.015526503827828343,0.0015526503827828343,-0.006912591949068075,-0.0008262024485593653,100
E1,PaFAR-T minus PaFAR-F,alert_burden_100d,0.13455774511583882,0.978024807225123,0.0978024807225123,-0.05713511710028529,0.3262506073319629,100
